2011 National Household Survey Data on the Labour Market Outcomes of Graduates,,,,,,,,,,,,,,,,
HIGHEST_LEVEL_OF_STUDY,HIGHEST_LEVEL_OF_STUDY_CODE,YEARS_SINCE_GRADUATION,YEARS_SINCE_GRADUATION_CODE,MAJOR_FIELD_OF_STUDY,MAJOR_FIELD_OF_STUDY_CODE,OCCUPATION,TOTAL_LABOUR FORCE,IN_THE LABOUR FORCE,EMPLOYED,UNEMPLOYED,NOT_IN_THE LABOUR FORCE,Employment_rate%,Unemployment rate%,Out_of_Labour_Force%,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,2174 Computer programmers and interactive media developers,7470,7355,7165,190,110,0.96,0.03,0.01,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,1411 General office clerks,7020,6610,6185,425,405,0.88,0.06,0.06,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,4112 Lawyers and Québec notaries,6575,6285,6040,245,285,0.92,0.04,0.04,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,1221 Administrative officers,6530,6210,5910,295,325,0.91,0.05,0.05,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,4122 Post-secondary teaching and research assistants,6300,4875,4195,680,1425,0.67,0.14,0.23,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,4212 Community and social service workers,6265,5985,5715,270,280,0.91,0.05,0.04,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,"0611 Sales, marketing and advertising managers",6190,6040,5905,135,145,0.95,0.02,0.02,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,0621 Retail trade managers,5940,5745,5595,145,200,0.94,0.03,0.03,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,2171 Information systems analysts and consultants,5705,5560,5480,85,140,0.96,0.02,0.02,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,5124 Professional occupations in public relations and communications,5300,5180,4975,205,115,0.94,0.04,0.02,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,4163 Business development officers and marketing researchers and consultants,5245,5070,4915,155,175,0.94,0.03,0.03,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,"1453 Customer service, information and related clerks",5050,4810,4490,320,240,0.89,0.07,0.05,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,1121 Specialists in human resources,4910,4730,4655,75,175,0.95,0.02,0.04,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,2131 Civil engineers,4695,4625,4505,120,70,0.96,0.03,0.01,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,4152 Social workers,4695,4525,4425,105,170,0.94,0.02,0.04,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,2132 Mechanical engineers,4635,4500,4405,95,135,0.95,0.02,0.03,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,1114 Other financial officers,4570,4460,4370,90,115,0.96,0.02,0.03,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,6453 Food and beverage servers,4235,3885,3675,210,350,0.87,0.05,0.08,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,1112 Financial and investment analysts,4075,3990,3925,65,85,0.96,0.02,0.02,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,2133 Electrical and electronics engineers,3655,3560,3510,50,95,0.96,0.01,0.03,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,"6411 Sales representatives, wholesale trade (non-technical)",3465,3385,3325,55,85,0.96,0.02,0.02,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,1122 Professional occupations in business services to management,3325,3270,3210,60,55,0.97,0.02,0.02,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,4214 Early childhood educators and assistants,3280,3025,2885,140,255,0.88,0.05,0.08,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,"0122 Banking, credit and other investment managers",3265,3220,3165,50,50,0.97,0.02,0.02,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,3131 Pharmacists,3225,3090,3020,60,140,0.94,0.02,0.04,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,1232 Loan officers,3115,3085,3000,85,30,0.96,0.03,0.01,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,1431 Accounting and related clerks,3045,2870,2730,140,175,0.90,0.05,0.06,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,4131 College and other vocational instructors,2970,2785,2595,195,185,0.87,0.07,0.06,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,1433 Customer service representatives - financial services,2940,2785,2660,130,150,0.90,0.05,0.05,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,5241 Graphic designers and illustrators,2810,2720,2585,135,90,0.92,0.05,0.03,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,6261 Police officers (except commissioned),2805,2710,2700,0,100,0.96,0.00,0.04,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,2173 Software engineers and designers,2780,2660,2615,50,115,0.94,0.02,0.04,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,"6221 Technical sales specialists, wholesale trade/6234 Grain elevator operators",2570,2515,2450,60,60,0.95,0.02,0.02,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,"5254 Program leaders and instructors in recreation, sport and fitness",2510,2285,2130,150,235,0.85,0.07,0.09,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,1223 Personnel and recruitment officers,2460,2410,2360,50,50,0.96,0.02,0.02,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,1414 Receptionists and switchboard operators/1424 Telephone operators,2230,1960,1790,170,270,0.80,0.09,0.12,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,0111 Financial managers,2175,2160,2085,70,0,0.96,0.03,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,1231 Bookkeepers,2070,1945,1820,125,130,0.88,0.06,0.06,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,0631 Restaurant and food service managers,2060,1995,1925,70,65,0.93,0.04,0.03,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,6611 Cashiers,1865,1625,1435,195,235,0.77,0.12,0.13,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,"4164 Social policy researchers, consultants and program officers",1815,1720,1660,55,100,0.91,0.03,0.06,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,"6641 Food counter attendants, kitchen helpers and related occupations",1765,1605,1500,100,165,0.85,0.06,0.09,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,"4153 Family, marriage and other related counsellors",1755,1685,1650,35,70,0.94,0.02,0.04,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,6231 Insurance agents and brokers,1745,1700,1655,40,50,0.95,0.02,0.03,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,0112 Human resources managers,1690,1660,1630,30,30,0.96,0.02,0.02,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,2121 Biologists and related scientists,1690,1630,1555,70,60,0.92,0.04,0.04,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,"1228 Immigration, employment insurance and revenue officers",1675,1640,1615,25,30,0.96,0.02,0.02,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,"2161 Mathematicians, statisticians and actuaries",1670,1635,1620,15,35,0.97,0.01,0.02,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,1226 Conference and event planners,1665,1555,1495,60,115,0.90,0.04,0.07,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,2175 Web designers and developers,1635,1560,1485,75,75,0.91,0.05,0.05,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,6232 Real estate agents and salespersons,1630,1600,1575,0,30,0.97,0.00,0.02,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,6472 Elementary and secondary school teacher assistants,1625,1540,1475,60,90,0.91,0.04,0.06,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,"0643 Commissioned officers, Armed Forces",1610,1555,1540,15,60,0.96,0.01,0.04,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,2281 Computer network technicians,1600,1505,1470,30,95,0.92,0.02,0.06,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,"4167 Recreation, sports and fitness program supervisors and consultants",1595,1475,1400,80,120,0.88,0.05,0.08,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,2282 User support technicians,1560,1495,1405,100,60,0.90,0.07,0.04,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,2147 Computer engineers (except software engineers),1535,1510,1470,45,20,0.96,0.03,0.01,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,"4165 Health policy researchers, consultants and program officers",1535,1430,1380,50,105,0.90,0.03,0.07,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,4211 Paralegal and related occupations,1485,1415,1325,85,70,0.89,0.06,0.05,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,1241 Secretaries (except legal and medical),1465,1310,1225,80,160,0.84,0.06,0.11,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,0711 Construction managers,1440,1430,1415,0,15,0.98,0.00,0.01,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,"4161 Natural and applied science policy researchers, consultants and program officers",1440,1390,1340,45,50,0.93,0.03,0.03,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,1222 Executive assistants,1430,1315,1225,90,115,0.86,0.07,0.08,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,5121 Authors and writers,1385,1295,1225,70,85,0.88,0.05,0.06,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,2263 Inspectors in public and environmental health and occupational health and safety,1365,1340,1320,20,25,0.97,0.01,0.02,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,3142 Physiotherapists,1365,1280,1260,25,80,0.92,0.02,0.06,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,5133 Musicians and singers,1335,1260,1185,75,75,0.89,0.06,0.06,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,2141 Industrial and manufacturing engineers,1325,1285,1260,25,40,0.95,0.02,0.03,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,2145 Petroleum engineers,1255,1225,1200,20,35,0.96,0.02,0.03,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,3143 Occupational therapists,1250,1170,1160,0,80,0.93,0.00,0.06,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,6651 Security guards and related occupations/6465 Other protective service occupations,1250,1205,1125,85,45,0.90,0.07,0.04,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,"1113 Securities agents, investment dealers and brokers",1245,1225,1195,35,25,0.96,0.03,0.02,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,6452 Bartenders,1215,1150,1105,45,65,0.91,0.04,0.05,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,1225 Purchasing agents and officers,1205,1175,1110,65,35,0.92,0.06,0.03,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,3414 Other assisting occupations in support of health services,1205,1060,1020,35,150,0.85,0.03,0.12,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,"2113 Geologists, geochemists and geophysicists",1175,1065,1020,45,105,0.87,0.04,0.09,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,"4166 Education policy researchers, consultants and program officers",1170,1115,1050,65,55,0.90,0.06,0.05,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,3132 Dietitians and nutritionists,1130,1095,1065,30,40,0.94,0.03,0.04,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,0213 Computer and information systems managers,1110,1085,1060,25,25,0.95,0.02,0.02,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,2211 Chemical technologists and technicians,1105,1080,1040,40,25,0.94,0.04,0.02,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,1422 Data entry clerks,1090,1025,935,90,65,0.86,0.09,0.06,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,4216 Other instructors,1075,890,830,55,185,0.77,0.06,0.17,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,"3413 Nurse aides, orderlies and patient service associates",1035,945,825,125,95,0.80,0.13,0.09,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,5123 Journalists,1030,1005,970,35,25,0.94,0.03,0.02,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,"5125 Translators, terminologists and interpreters",1030,985,915,70,40,0.89,0.07,0.04,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,"5131 Producers, directors, choreographers and related occupations",1030,980,925,55,55,0.90,0.06,0.05,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,1233 Insurance adjusters and claims examiners,1025,965,950,10,60,0.93,0.01,0.06,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,5122 Editors,1020,960,930,30,65,0.91,0.03,0.06,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,"1434 Banking, insurance and other financial clerks",1015,980,950,25,40,0.94,0.03,0.04,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,4213 Employment counsellors,995,930,905,30,60,0.91,0.03,0.06,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,2134 Chemical engineers,975,965,945,15,0,0.97,0.02,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,"0121 Insurance, real estate and financial brokerage managers",960,935,925,15,25,0.96,0.02,0.03,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,6211 Retail trade supervisors,935,915,855,55,20,0.91,0.06,0.02,,
Bachelor's degree,LOS050,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS2,4143 Educational counsellors,890,830,770,60,65,0.87,0.07,0.07,,
